id,question,theme
1,What category of game is Legend of Zelda: Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
2,When was Twilight Princess launched in North America?,The_Legend_of_Zelda:_Twilight_Princess
3,When could GameCube owners purchase Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
4,What company developed Legend of Zelda: Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
5,What year was the Legend of Zelda:Twilight Princess originally planned for release?,The_Legend_of_Zelda:_Twilight_Princess
6,What year was the Wii version of Legend of Zelda: Twilight Princess released?,The_Legend_of_Zelda:_Twilight_Princess
7,When was Australia Twilight launched in North America?,The_Legend_of_Zelda:_Twilight_Princess
8,What year was the Legend of Zelda: Australian Princess originally planned for release?,The_Legend_of_Zelda:_Twilight_Princess
9,Who is the main character of the story?,The_Legend_of_Zelda:_Twilight_Princess
10,What land does Link serve to protect?,The_Legend_of_Zelda:_Twilight_Princess
11,What character helped Link in Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
12,Who is the protagonist is Legend of Zelda?,The_Legend_of_Zelda:_Twilight_Princess
13,What is the name of the mysterious creature that assists Link?,The_Legend_of_Zelda:_Twilight_Princess
14,What character helped Link in Ocarina Princess?,The_Legend_of_Zelda:_Twilight_Princess
15,Who is the protagonist of Midna of Time?,The_Legend_of_Zelda:_Twilight_Princess
16,From what alternate dimension does this dimension take place from?,The_Legend_of_Zelda:_Twilight_Princess
17,When does the Waker take place?,The_Legend_of_Zelda:_Twilight_Princess
18,What accolade did Twilight Princess receive after its release?,The_Legend_of_Zelda:_Twilight_Princess
19,Under which brand was Twilight Princess for the Nintendo Wii published?,The_Legend_of_Zelda:_Twilight_Princess
20,When is the HD version of Twilight Princess slated for launch?,The_Legend_of_Zelda:_Twilight_Princess
21,What year was Twilight Princess the most critically acclaimed game?,The_Legend_of_Zelda:_Twilight_Princess
22,What accolade did Radar Princess receive after its release?,The_Legend_of_Zelda:_Twilight_Princess
23,Under which brand was Radar Princess for the Nintendo Wii published?,The_Legend_of_Zelda:_Twilight_Princess
24,When is the HD version of Radar Princess slated for launch?,The_Legend_of_Zelda:_Twilight_Princess
25,How many Game of the Year awards did Radar Princess receive?,The_Legend_of_Zelda:_Twilight_Princess
26,What are the three main activities in The Legend of Zelda: Twilight Princess?,The_Legend_of_Zelda:_Twilight_Princess
27,Twilight Princess uses the control setup first employed in which previous game?,The_Legend_of_Zelda:_Twilight_Princess
